Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+2.493832e-03 +7.543020e-01 +1.026461e+03 +2.794973e+02     Pix  1 78
+2.524778e-03 +7.989744e-01 +9.810754e+02 +2.961638e+02     Pix  1 79
+3.039293e-03 +8.979322e-01 +9.427050e+02 +2.831294e+02     Pix  2  0
+3.095061e-03 +8.902984e-01 +9.288992e+02 +2.826170e+02     Pix  2  1
+2.991488e-03 +8.597173e-01 +9.437914e+02 +2.444923e+02     Pix  2  2
+2.926009e-03 +8.586848e-01 +9.713441e+02 +2.438709e+02     Pix  2  3
+3.031949e-03 +8.971326e-01 +9.437120e+02 +2.683365e+02     Pix  2  4
+3.171956e-03 +9.400766e-01 +9.121346e+02 +2.737416e+02     Pix  2  5
+3.057264e-03 +8.805176e-01 +9.463868e+02 +2.846526e+02     Pix  2  6
+2.979828e-03 +8.421742e-01 +9.662349e+02 +2.442389e+02     Pix  2  7
+3.134169e-03 +8.509798e-01 +9.385889e+02 +2.416293e+02     Pix  2  8
+3.041230e-03 +8.841518e-01 +9.320404e+02 +2.764908e+02     Pix  2  9
+3.011007e-03 +8.335074e-01 +9.615574e+02 +2.401967e+02     Pix  2 10
+2.973479e-03 +8.429890e-01 +9.512537e+02 +2.303201e+02     Pix  2 11
+2.972292e-03 +8.576867e-01 +9.613229e+02 +2.501974e+02     Pix  2 12
+2.887464e-03 +8.169500e-01 +9.813622e+02 +2.020367e+02     Pix  2 13
+3.067859e-03 +8.173104e-01 +9.424487e+02 +2.342518e+02     Pix  2 14
+2.739269e-03 +7.989297e-01 +9.970719e+02 +2.173011e+02     Pix  2 15
+2.919313e-03 +8.499886e-01 +9.568518e+02 +2.386795e+02     Pix  2 16
+2.832911e-03 +8.053787e-01 +9.885957e+02 +1.836150e+02     Pix  2 17
+2.934456e-03 +8.431461e-01 +9.665987e+02 +2.471989e+02     Pix  2 18
+2.864186e-03 +8.164298e-01 +9.827930e+02 +2.113963e+02     Pix  2 19
+2.975632e-03 +8.748309e-01 +9.526578e+02 +2.278493e+02     Pix  2 20
+2.906399e-03 +8.432329e-01 +9.598052e+02 +2.524107e+02     Pix  2 21
+2.909891e-03 +8.629486e-01 +9.471433e+02 +2.318018e+02     Pix  2 22
+3.008175e-03 +8.867674e-01 +9.367158e+02 +2.386053e+02     Pix  2 23
+2.970005e-03 +8.581204e-01 +9.513230e+02 +2.609976e+02     Pix  2 24
+2.926127e-03 +8.578971e-01 +9.526115e+02 +2.322990e+02     Pix  2 25
+2.911833e-03 +8.223085e-01 +9.763014e+02 +2.027231e+02     Pix  2 26
+2.816510e-03 +8.367891e-01 +9.837125e+02 +2.277970e+02     Pix  2 27
+2.888533e-03 +8.431739e-01 +9.618000e+02 +2.175339e+02     Pix  2 28
+2.857542e-03 +8.425745e-01 +9.569389e+02 +2.206474e+02     Pix  2 29
+2.801208e-03 +8.219192e-01 +9.885578e+02 +2.251473e+02     Pix  2 30
+2.901807e-03 +8.258000e-01 +9.554012e+02 +2.291971e+02     Pix  2 31
+2.867656e-03 +8.120378e-01 +9.585277e+02 +2.215300e+02     Pix  2 32
+2.805618e-03 +8.099442e-01 +9.852226e+02 +2.257314e+02     Pix  2 33
+2.922734e-03 +8.520171e-01 +9.518946e+02 +2.280673e+02     Pix  2 34
+2.824879e-03 +7.957687e-01 +9.751642e+02 +1.977329e+02     Pix  2 35
+2.753329e-03 +7.734848e-01 +9.909082e+02 +2.219288e+02     Pix  2 36
